,Job_Title,Company_Website,Job Details,Selected Role Daily Task
0,Data Science,https://in.linkedin.com/company/hrnessdcs,"['Entry level', 'Internship', 'Engineering and Information Technology', 'Software Development']","Intern at Hrness.ai will work on HR analytics projects and create frameworks, directory, and synthetic data for AI services."
1,Data Scientist,https://www.linkedin.com/company/fusemachines,"['Mid-Senior level', 'Contract', 'Engineering and Information Technology', 'Internet Publishing']","Fusemachines seeks a Data Scientist for a remote, contract-based role to lead a cloud-based big data application."
2,Data Scientist - Kochi,https://in.linkedin.com/company/ripplesindia-group,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Banking']","Data Scientist with 3-8 years of experience needed to analyze large datasets, build predictive models, and communicate findings."
3,Data Scientist,https://in.linkedin.com/company/flexianalystpvtltd,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",Data analyst role seeking individual with strong collaboration and data analysis skills for actionable insights.
4,Data Scientist,https://www.linkedin.com/company/joveo,"['Associate', 'Full-time', 'Engineering', 'Software Development']",Joveo seeks a Data Scientist to develop ML systems using LLM/GenAI/GPT to enhance recruitment marketing transparency and efficiency.
5,Data Scientist,https://ae.linkedin.com/company/core42ai,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Core42 seeks a Data Scientist to develop AI solutions, optimize processes, and drive business growth using data analysis and machine learning techniques."
6,Data Scientist,https://in.linkedin.com/company/nirafinance,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Accounting, Banking, and Financial Services']","Engineer role at NIRA involves building and scaling production systems, working on various systems, and developing models for fraud detection and credit risk assessment."
7,ML Engineer / Scientist,https://in.linkedin.com/company/ia-ooo,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Technology, Information and Internet and IT Services and IT Consulting']","Phronetic.ai, a new AI venture, seeks skilled individuals to develop and deploy large-scale AI models for enterprises and governments."
8,Data Scientist - Python,https://in.linkedin.com/company/awign-enterprises,"['Entry level', 'Contract', 'Information Technology', 'Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development']","6-month contractual remote data analyst role, requiring immediate joiner. Responsibilities include data analysis, experimentation, and building insights for clients. Must be proficient in Python and data analysis techniques."
9,Data Scientist,https://mx.linkedin.com/company/aplazo,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Accounting, Banking, and Financial Services']","Data Scientist role at Aplazo involves developing ML solutions, building credit strategies, and implementing new products using ML/DL."
10,Machine Learning,https://in.linkedin.com/company/reach-skyline,"['Entry level', 'Internship', 'Engineering and Information Technology', 'Advertising Services']","Design, develop, and deploy ML pipelines and models for computer vision applications."
11,Data Scientist,https://in.linkedin.com/company/onebanc,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Financial Services']",OneBanc is a neo-bank utilizing data analysis and predictive modeling to revolutionize financial services for India's workforce.
12,Junior data Scientist,https://in.linkedin.com/company/zigsaw-consultancy-services,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Community Services']","Deep learning engineer role requiring proficiency in Python, TensorFlow, and computer vision for model development and deployment."
13,Junior ML Engineer,https://in.linkedin.com/company/qweensnetwork,"['Entry level', 'Full-time', 'Other', 'IT Services and IT Consulting']",3-4 years experienced Machine Learning Engineer needed for data science prototypes and model deployment in Bangalore.
14,Data Scientist,https://in.linkedin.com/company/tanla-platforms,"['Director', 'Full-time', 'Information Technology', 'Software Development']","AI/ML Developer: Design, develop, and implement machine learning and deep learning models. Lead projects and mentor team members. Requires 4-10 years of experience in the field."
15,Data Scientist-IC2,https://www.linkedin.com/company/varite,"['Entry level', 'Contract', 'Information Technology', 'Software Development']","VARITE, a cloud computing company, seeks a Data Scientist to improve algorithms and collaborate on products and features."
16,"Machine Learning Engineer (Remote, India-based)",https://www.linkedin.com/company/invitro-capital,"['Mid-Senior level', 'Contract', 'Engineering', 'Technology, Information and Internet']","Invitro Capital seeks a skilled Machine Learning Engineer to design, develop, and deploy cutting-edge AI solutions for business problems."
17,Data Scientist,https://in.linkedin.com/company/acmeservices,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Retail']","Job involves improving search algorithms, developing graph algorithms, image segmentation, personalized search, product ranking, and user profiling."
18,Data Scientist,https://in.linkedin.com/company/go-yubi,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Financial Services']","Spocto, a Yubi company, uses AI and ML to revolutionize debt collections, aiming for improved customer relations and retention."
19,Data Scientist,https://in.linkedin.com/company/airindiax,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Airlines and Aviation']","Route Revenue job opening in Gurugram, India, posted on January 31, 2024, is full-time."
20,Machine Learning Engineer,https://www.linkedin.com/company/h2oai,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Internet Publishing']","H2O.ai seeks a skilled Machine Learning Engineer to develop and deploy models, integrate products, implement pipelines, and advise customers."
21,Machine Learning Engineer(ML),https://in.linkedin.com/company/tamcherry-zaportiv,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Information Technology & Services']","ML Engineer job with 1-3 years of experience in AI/ML projects, Master's in IT/Big Data/Data Science/AI, and expertise in Azure ML, TensorFlow, and NLP."
22,Data Scientist,https://in.linkedin.com/company/crescendo-global,"['Mid-Senior level', 'Full-time', 'Engineering', 'Financial Services, Credit Intermediation, and Loan Brokers']",Machine Learning Engineer needed for fintech company to digitize financial records and innovate the MSME sector in India.
23,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI/ML Engineer needed to develop and deploy innovative machine learning solutions, analyze data, and collaborate with cross-functional teams."
24,Data Scientist,https://ch.linkedin.com/company/windmill-digital-ch,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Internet Publishing']","Windmill seeks skilled Data Scientist for data analysis, model development, and visualization to drive business decisions."
25,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",AI/ML Engineer needed to develop and implement innovative machine learning solutions for complex business problems.
26,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI/ML Engineer needed to design, build, and deploy machine learning models to solve complex problems."
27,Data Scientist,https://www.linkedin.com/company/amgen,"['Associate', 'Full-time', 'Engineering and Information Technology', 'Biotechnology Research']","Data engineer with expertise in code comprehension, documentation, and collaboration across development and operations teams."
28,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Wanted: Experienced AI/ML Engineer to develop and deploy innovative machine learning solutions, driving product enhancements."
29,Data Scientist,https://www.linkedin.com/company/harman-international,"['Associate', 'Full-time', 'Engineering and Information Technology', 'Computers and Electronics Manufacturing']","Data Scientist role requires a bachelor's degree, 3+ years of experience, programming skills, and strong analytical abilities."
30,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI/ML Engineer: Develops, deploys, and evaluates machine learning models to solve complex problems, enhancing products or services."
31,ML Engineer,https://www.linkedin.com/company/synechron,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Software Development and IT Services and IT Consulting']","AI/ML/Data Science role requiring proficiency in programming languages, data analysis tools, and AI frameworks."
32,Senior Data Scientist,https://www.linkedin.com/company/fusemachines,"['Mid-Senior level', 'Contract', 'Engineering and Information Technology', 'Internet Publishing']","Fusemachines, an AI talent solutions company, seeks a Sr. Data Scientist for a remote 1-year contract role."
33,Data Scientist,https://in.linkedin.com/company/huntingcube,"['Mid-Senior level', 'Full-time', 'Engineering', 'Internet Marketplace Platforms']","Machine Learning Engineer role in an e-commerce company, 2-4 years of experience, Bangalore location, skills in NLP, immediate notice period."
34,Data Scientist,https://ae.linkedin.com/company/core42ai,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Core42 seeks a Data Scientist to develop AI solutions, analyze data, and drive business growth using ML and statistical techniques."
35,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI/ML Engineer needed to design, build, and deploy machine learning models for complex business challenges."
36,Data Scientist,https://ch.linkedin.com/company/windmill-digital-ch,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Internet Publishing']",Windmill seeks a Data Scientist to develop AI solutions using machine learning and deep learning techniques.
37,"Data Scientists (All levels), Analytical Chemistry",https://www.linkedin.com/company/usebraintrust,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Technology, Information and Internet']","EnRisk seeks physicists, analytical chemists, and AI experts for on-device AI solutions, offering innovation and growth opportunities."
38,Data Scientist,https://ae.linkedin.com/company/thehiredai,"['Entry level', 'Contract', 'Engineering and Information Technology', 'Technology, Information and Internet']","Seeking a skilled individual to automate the scraping of niche jobs from job boards, ensuring results are filtered accurately and old data is auto-deleted after a month."
39,AI ENGINEER,https://in.linkedin.com/company/www.nexushire.in,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'Human Resources Services']","Expertise in Python, Langchain, Hugging Face, and generative AI models for developing and deploying AI applications."
40,Machine Learning Engineer,https://in.linkedin.com/company/hopshealthcare,"['Executive', 'Full-time', 'Engineering and Information Technology', 'Hospitals and Health Care']",Develop automated crop and disease models using AI/ML. Implement computer vision algorithms for various applications. Manage web GIS applications and databases.
41,Data Scientist,https://in.linkedin.com/company/truetechpro,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Data Scientist role involves leveraging data, developing machine learning models, and communicating findings to drive informed decision-making and solve business challenges."
42,AI and Machine Learning Engineer,https://in.linkedin.com/company/liangtuang,"['Associate', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI and Machine Learning Engineer role involves developing AI models, collaborating with teams, and optimizing AI solutions."
43,Senior Data Scientist,https://in.linkedin.com/company/bharatx,"['Mid-Senior level', 'Full-time', 'Engineering', 'Technology, Information and Internet']","Data scientist position requires 3+ years of experience, proficiency in programming languages and AI frameworks, and expertise in data science techniques."
44,AI/ML Engineer,https://in.linkedin.com/company/krytechadvisory,"['Mid-Senior level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","AI/ML Engineer needed to develop innovative solutions, analyze data, train models, and integrate AI/ML into production systems."
45,Data Scientist - Business Intelligence,https://in.linkedin.com/company/boyenhaddin,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Staffing and Recruiting']","Data Scientist role requires expertise in statistics, probability, linear algebra, calculus, optimization, and programming."
46,Data Science Executive,https://www.linkedin.com/company/nielseniq,"['Executive', 'Full-time', 'Business Development and Sales', 'Information Services']","NielsenIQ seeks a Data Science professional to support clients, create solutions, and collaborate on innovative projects."
47,Data Scientist,https://ca.linkedin.com/company/sybex-support-services,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Seeking experienced Data Scientist for contract role in Bangalore. Requires 2-4 years in data science, statistical analysis, machine learning, and data visualization."
